participant,trial,expectation,feedback,reference,profile,reset,mean_population,item_number,factor_number
1,107,6,4,5,2,1,6.329177057356609,36,4
1,108,6,8,7,2,1,6.9104859335038364,8,4
1,109,7,3,7,2,1,5.147286821705427,57,2
1,110,4,3,8,2,0,5.529262086513995,10,3
1,111,6,7,4,2,0,6.183937823834197,77,4
1,112,7,7,2,2,0,5.077720207253886,72,2
1,113,6,4,5,2,1,5.280612244897959,70,2.5
1,114,3,8,5,2,1,5.720698254364089,46,3
1,115,6,8,8,2,1,6.370646766169155,56,4
1,116,6,8,5,2,1,7.159898477157361,40,4
1,117,4,6,7,2,1,6.1914357682619645,19,4
1,118,6,7,7,2,1,6.916243654822335,24,4
1,119,7,6,3,2,1,5.639896373056994,42,3
1,120,4,8,7,2,1,6.0997506234413965,51,4
1,121,6,7,NA,3,0,6.401496259351621,41,4
1,122,6,8,7,3,1,6.369509043927649,22,4
1,123,5,5,4,3,1,5.129675810473816,26,3
1,124,6,7,7,3,1,5.750636132315521,55,3
1,125,6,5,5,3,1,5.948586118251928,13,3
1,126,7,8,8,3,0,7.175257731958763,53,5
1,127,6,7,5,3,0,7.159898477157361,40,4
1,128,7,4,5,3,1,5.959493670886076,4,3
1,129,6,5,6,3,1,5.3915211970074814,6,3
1,130,7,7,8,3,0,7.037878787878788,54,5
1,131,7,6,4,3,1,6.183937823834197,77,4
1,132,8,5,5,3,1,6.083756345177665,79,4
1,133,6,4,5,3,1,5.6640625,47,3
1,134,5,7,6,3,1,6.987146529562982,38,4
1,135,6,6,6,3,1,6.83080808080808,15,4
1,136,7,6,7,3,0,6.596899224806202,73,4
1,137,7,7,7,3,0,7.017721518987342,14,4
1,138,5,7,7,3,0,6.451776649746193,5,4
1,139,7,7,7,3,0,6.9104859335038364,8,4
1,140,7,7,7,3,0,6.916243654822335,24,4
1,141,7,6,5,3,1,6.111392405063291,49,4
1,142,6,2,2,3,0,5.539240506329114,20,3
1,143,6,6,2,3,1,6.5575,16,4
1,144,7,2,2,3,1,5.077720207253886,72,2
1,145,3,5,3,3,0,5.639896373056994,42,3
1,146,4,6,8,3,1,6.5240506329113925,44,4
1,147,6,6,5,3,1,5.493573264781491,3,3
1,148,7,6,6,3,0,5.976744186046512,7,3
1,149,7,5,6,3,1,5.235443037974684,30,3
1,150,6,7,6,3,1,7.17005076142132,35,4
1,151,4,1,6,3,1,5.238341968911917,2,2
1,152,7,7,7,3,0,6.892768079800499,1,4
1,153,7,6,7,3,0,5.723076923076923,58,3
1,154,7,5,4,3,1,5.55440414507772,12,3
1,155,5,7,8,3,0,6.01025641025641,43,3.5
1,156,7,6,5,3,0,5.720698254364089,46,3
1,157,4,7,2,3,1,4.860759493670886,45,2
1,158,6,3,8,3,1,5.529262086513995,10,3
1,159,5,5,3,3,1,5.394805194805195,67,3
1,160,6,4,7,3,1,6.1914357682619645,19,4
1,161,6,7,7,3,1,6.776623376623377,32,4
1,162,7,7,5,3,1,5.280612244897959,70,2.5
1,163,5,7,5,3,1,6.329177057356609,36,4
1,164,7,6,8,3,1,6.370646766169155,56,4
1,165,2,4,6,3,1,5.351706036745407,63,3
1,166,7,5,5,3,1,6.017456359102244,31,3
1,167,7,5,7,3,1,5.147286821705427,57,2
1,168,6,7,7,3,1,6.0997506234413965,51,4
1,169,7,6,5,3,1,5.285347043701799,23,3
1,170,6,7,6,3,0,6.0648379052369075,71,4
1,171,6,6,3,3,1,5.666666666666667,29,3
1,172,7,8,6,3,0,6.839793281653747,27,4
1,173,3,7,5,3,1,6.043701799485861,48,4
1,174,6,2,4,3,1,5.297709923664122,65,3
1,175,5,8,6,3,1,5.414322250639386,18,3
1,176,6,7,2,3,1,4.992307692307692,68,2
1,177,5,7,7,3,1,7.012626262626263,64,4
1,178,3,6,3,3,0,4.245,66,1
1,179,7,8,8,3,0,6.554430379746836,50,4
1,180,7,6,7,3,1,5.63681592039801,76,3
1,181,8,5,8,4,1,7.037878787878788,54,5
1,182,3,3,2,4,1,5.077720207253886,72,2
1,183,7,5,6,4,1,6.83080808080808,15,4
1,184,4,6,5,4,0,7.159898477157361,40,4
1,185,8,5,7,4,0,6.916243654822335,24,4
1,186,4,5,2,4,1,6.5575,16,4
1,187,6,7,6,4,0,6.0648379052369075,71,4
1,188,4,4,5,4,0,5.285347043701799,23,3
1,189,6,5,6,4,1,5.414322250639386,18,3
1,190,4,6,5,4,1,5.959493670886076,4,3
1,191,4,4,7,4,1,6.1914357682619645,19,4
1,192,6,6,7,4,1,6.9104859335038364,8,4
1,193,6,6,8,4,0,7.175257731958763,53,5
1,194,4,7,6,4,1,5.351706036745407,63,3
1,195,7,5,8,4,1,6.370646766169155,56,4
1,196,5,5,5,4,1,5.720698254364089,46,3
1,197,5,5,7,4,0,7.012626262626263,64,4
1,198,5,5,5,4,1,6.329177057356609,36,4
1,199,6,2,8,4,1,5.529262086513995,10,3
1,200,3,6,3,4,1,4.245,66,1
1,201,5,3,4,4,1,5.297709923664122,65,3
1,202,6,3,4,4,1,5.55440414507772,12,3
1,203,5,7,NA,4,0,6.401496259351621,41,4
1,204,4,5,6,4,1,6.839793281653747,27,4
1,205,5,4,5,4,1,5.948586118251928,13,3
1,206,6,5,8,4,0,6.554430379746836,50,4
1,207,5,6,6,4,0,7.17005076142132,35,4
1,208,6,3,5,4,1,6.083756345177665,79,4
1,209,6,4,6,4,0,5.976744186046512,7,3
